4754,.net,1
2080,activerecord,1
437,ado,1
1369,ado.net,1
316,adodb,1
920,aggregate,0
2796,aggregate-functions,0
291,aggregation,0
1051,ajax,1
619,algorithm,1
475,alias,0
238,alter,0
340,alter-table,0
510,amazon-athena,1
2396,amazon-redshift,1
663,amazon-web-services,1
228,analytics,1
3735,android,1
207,android-room,1
339,android-sqlite,1
208,ansi-sql,1
1099,apache-spark,1
828,apache-spark-sql,1
305,api,1
2917,arrays,1
774,asp-classic,1
9879,asp.net,1
293,asp.net-core,1
1741,asp.net-mvc,1
345,asp.net-mvc-4,1
206,authentication,1
508,auto-increment,1
917,average,0
1624,azure,1
1120,azure-sql-database,1
268,backup,1
380,bash,1
353,batch-file,1
269,bcp,1
444,between,0
327,bigdata,0
392,blob,1
498,bulkinsert,1
240,business-intelligence,1
315,c,1
31571,c#,1
433,c#-4.0,1
856,c++,1
264,caching,1
559,cakephp,1
342,calculated-columns,0
3307,case,0
424,case-when,0
753,casting,0
197,character-encoding,1
281,check-constraints,0
235,checkbox,1
205,clob,1
347,coalesce,0
233,code-injection,1
1927,codeigniter,1
587,coldfusion,1
291,collation,1
346,combobox,1
1927,common-table-expression,1
364,compare,0
215,comparison,0
351,concat,0
639,concatenation,0
284,concurrency,1
312,conditional,0
531,conditional-statements,0
376,connection,1
358,connection-string,1
1156,constraints,0
379,correlated-subquery,0
5523,count,0
775,create-table,0
239,criteria,0
410,crosstab,0
723,crystal-reports,1
312,css,1
2025,csv,1
277,cumulative-sum,0
1161,cursor,1
295,dapper,1
394,data-modeling,1
229,data-structures,1
467,data-warehouse,1
41112,database,0
426,database-administration,1
411,database-connection,1
5331,database-design,1
237,database-migration,1
273,database-normalization,0
616,database-performance,1
510,database-schema,0
518,database-trigger,0
418,dataframe,0
777,datagridview,1
518,dataset,0
688,datatable,0
6876,date,0
413,date-arithmetic,0
271,date-range,0
506,datediff,0
5284,datetime,0
4653,db2,1
337,db2-400,1
830,ddl,0
234,deadlock,1
196,debugging,1
325,decimal,0
216,delete-row,0
541,delphi,1
638,derby,1
198,design-patterns,1
2039,distinct,0
2446,django,1
460,django-models,1
220,dml,1
473,doctrine,1
575,doctrine-orm,1
195,dql,1
228,drop-down-menu,1
1820,duplicates,0
804,dynamic,1
998,dynamic-sql,1
342,eclipse,1
194,elasticsearch,1
1019,eloquent,1
316,email,1
360,encryption,1
221,entity,1
217,entity-attribute-value,1
4283,entity-framework,1
194,entity-framework-4,1
338,entity-framework-6,1
363,entity-framework-core,1
372,entity-relationship,1
220,erd,1
316,error-handling,1
265,escaping,0
574,etl,1
4140,excel,1
391,exception,0
528,exists,0
292,export,1
269,express,1
230,file,1
496,filter,0
1134,firebird,1
380,flask,1
236,flask-sqlalchemy,1
349,for-loop,1
368,foreach,1
317,foreign-key-relationship,0
2506,foreign-keys,0
330,format,0
259,formatting,0
1061,forms,1
911,full-text-search,1
1941,function,1
859,gaps-and-islands,1
211,geospatial,1
466,go,1
3981,google-bigquery,1
271,google-cloud-platform,1
254,grails,1
2926,greatest-n-per-group,0
686,gridview,1
271,groovy,1
8861,group-by,0
380,group-concat,0
574,grouping,0
717,h2,1
959,hadoop,1
552,hana,1
203,hash,1
544,having,0
345,having-clause,0
4142,hibernate,1
658,hierarchical-data,1
368,hierarchy,1
2813,hive,1
1133,hiveql,1
917,hql,1
464,hsqldb,1
4650,html,1
203,html-table,1
498,ibm-midrange,1
224,identity,1
1179,if-statement,0
211,iis,1
443,image,1
542,impala,1
657,import,1
2965,indexing,1
693,informix,1
3143,inner-join,0
533,innodb,1
2995,insert,0
259,insert-into,0
219,insert-update,0
218,intervals,1
443,ios,1
215,iphone,1
241,isnull,0
224,jakarta-ee,1
17323,java,1
3711,javascript,1
3816,jdbc,1
17699,join,0
206,jointable,0
215,joomla,1
669,jooq,1
1928,jpa,1
422,jpql,1
1597,jquery,1
3657,json,1
410,jsonb,1
572,jsp,1
224,key,0
218,knex.js,1
204,lag,0
303,lambda,1
3115,laravel,1
232,laravel-4,1
429,laravel-5,1
3322,left-join,0
467,limit,0
353,linked-server,1
5530,linq,1
323,linq-to-entities,1
1361,linq-to-sql,1
439,linux,1
223,liquibase,1
434,list,1
194,listview,1
420,locking,1
325,logging,1
299,logic,0
343,login,1
1161,loops,1
391,magento,1
792,many-to-many,0
2769,mariadb,1
300,math,0
1642,max,0
261,mdx,1
969,merge,0
299,migration,1
403,min,0
255,model,1
318,model-view-controller,1
569,mongodb,1
14567,ms-access,1
998,ms-access-2007,1
1507,ms-access-2010,1
447,ms-access-2013,1
228,ms-access-2016,1
396,multiple-columns,1
259,multiple-tables,1
357,multithreading,1
303,mybatis,1
129522,mysql,1
408,mysql-error-1064,1
1273,mysql-workbench,1
2524,mysqli,1
501,nested,0
318,netbeans,1
673,netezza,1
741,nhibernate,1
1952,node.js,1
387,normalization,1
651,nosql,1
1582,null,0
213,objective-c,1
1244,odbc,1
614,oledb,1
284,one-to-many,0
226,oop,1
1666,optimization,1
60496,oracle,1
816,oracle-apex,1
2590,oracle-sqldeveloper,1
2609,oracle10g,1
7341,oracle11g,1
1061,oracle12c,1
213,oracle9i,1
1156,orm,1
739,outer-join,0
461,pagination,1
1107,pandas,1
972,parameters,0
211,parent-child,0
594,parsing,1
220,partition,1
337,partitioning,1
207,pattern-matching,0
2579,pdo,1
256,percentage,0
5441,performance,1
443,perl,1
237,permissions,1
218,pgadmin,1
48449,php,1
2848,phpmyadmin,1
4710,pivot,0
707,pivot-table,0
1098,plpgsql,1
8579,plsql,1
425,plsqldeveloper,1
206,post,1
537,postgis,1
38489,postgresql,1
507,postgresql-9.1,1
273,postgresql-9.2,1
409,postgresql-9.3,1
296,postgresql-9.4,1
267,postgresql-9.5,1
205,postgresql-performance,1
282,powerbi,1
850,powershell,1
1009,prepared-statement,1
915,presto,1
1118,primary-key,0
608,procedure,0
498,psql,1
321,psycopg2,1
498,pyodbc,1
509,pyspark,1
9428,python,1
269,python-2.7,1
911,python-3.x,1
321,qt,1
238,query-builder,0
2684,query-optimization,0
770,query-performance,1
1466,r,1
225,rails-activerecord,1
631,random,1
308,range,1
357,rank,0
233,ranking,0
252,razor,1
900,rdbms,1
830,recursion,1
1069,recursive-query,1
3036,regex,1
249,relational-algebra,1
1781,relational-database,1
316,relational-division,1
310,relationship,1
839,replace,0
237,replication,1
526,report,1
333,reporting,1
3015,reporting-services,1
231,rest,1
465,resultset,0
253,rounding,0
495,row,0
480,row-number,0
458,rows,0
1742,ruby,1
4592,ruby-on-rails,1
628,ruby-on-rails-3,1
422,ruby-on-rails-4,1
213,sap,1
349,sap-ase,1
1373,sas,1
559,scala,1
585,schema,0
1149,search,1
712,security,1
12908,select,0
577,self-join,0
549,sequelize.js,1
369,sequence,1
201,servlets,1
353,session,1
393,shell,1
1035,snowflake-cloud-data-platform,1
1237,sorting,0
219,spatial,1
705,split,1
1304,spring,1
560,spring-boot,1
520,spring-data-jpa,1
591867,sql,0
1317,sql-delete,0
456,sql-execution-plan,1
472,sql-function,0
1150,sql-injection,1
2183,sql-insert,0
1339,sql-like,0
3143,sql-order-by,0
134550,sql-server,1
1196,sql-server-2000,1
8023,sql-server-2005,1
25938,sql-server-2008,1
4569,sql-server-2008-r2,1
7855,sql-server-2012,1
2019,sql-server-2014,1
1334,sql-server-2016,1
529,sql-server-2017,1
756,sql-server-ce,1
332,sql-server-express,1
5345,sql-update,0
516,sql-view,0
1570,sqlalchemy,1
231,sqlcmd,1
282,sqlcommand,1
222,sqldatareader,1
411,sqldatatypes,0
12421,sqlite,1
308,sqlperformance,1
1001,sqlplus,1
210,sqlxml,1
471,ssas,1
2868,ssis,1
2330,ssms,1
634,ssrs-2008,1
354,ssrs-2012,1
236,statistics,1
200,stored-functions,1
11385,stored-procedures,0
2688,string,0
252,string-aggregation,0
5247,subquery,0
764,substring,0
2807,sum,0
339,swing,1
1172,sybase,1
735,symfony,1
1219,syntax,0
776,syntax-error,0
257,tableau-api,1
545,temp-tables,1
2325,teradata,1
233,text,0
995,time,0
213,time-series,1
1253,timestamp,0
264,timezone,1
416,toad,1
1434,transactions,0
276,transpose,0
343,tree,1
4476,triggers,0
35440,tsql,1
568,type-conversion,0
494,types,0
253,unicode,1
2177,union,0
360,union-all,0
494,unique,0
325,unique-constraint,0
293,unix,1
730,unpivot,0
238,upsert,1
485,user-defined-functions,1
213,utf-8,1
277,validation,1
467,varchar,0
1052,variables,0
5323,vb.net,1
325,vb6,1
4915,vba,1
414,vbscript,1
552,vertica,1
1461,view,0
413,views,0
1522,visual-studio,1
216,visual-studio-2008,1
774,visual-studio-2010,1
410,visual-studio-2012,1
202,visual-studio-2013,1
255,wcf,1
426,web,1
367,web-services,1
196,webforms,1
1405,where,0
2267,where-clause,0
489,while-loop,1
296,wildcard,0
2313,window-functions,1
418,windows,1
1199,winforms,1
286,woocommerce,1
1993,wordpress,1
600,wpf,1
321,xampp,1
4169,xml,1
297,xpath,1
379,xquery,1
368,yii,1
205,yii2,1
297,zend-framework,1
